#Author: Pavan Kumar Andra
#Date: 2026-07-29 Time: 17:25
#TC_ID/PC_ID , Testcase_Description, Service_ID, SubService_ID, Expected_Response_Data, Write_Data, Addressing, Format, Status_Mask, Communication_Type, controltype
TC_ID-037 , PreCondition: PC_ID-003  Testcase:Subfunction not supported(19 0E),0x19,0x0E,03 7F 19 12 AA AA AA AA,  ,Physical,Hex,0x08,  ,  
TC_ID-038 , PreCondition: PC_ID-003  Testcase:Subfunction not supported(properMask improper record with 0xFF)(19 FF),0x19,0xFF,03 7F 19 12 AA AA AA AA,  ,Physical,Hex,0x08,  ,  
TC_ID-041 , Incorrect message length,0x19,  ,03 7F 19 13 AA AA AA AA,  ,Physical,Hex,  ,  ,  
TC_ID-650 , PreCondition: PC_ID-003  Testcase:Fault memory clear Extended session(14 FFFFFF),0x14,0xFFFFFF,01 54 AA AA AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-651 , PreCondition: PC_ID-003  Testcase:Conditions not correct(invalid range)(14 FFEEEE),0x14,0xFFEEEE,03 7F 14 22 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-652 , PreCondition: PC_ID-003  Testcase:Request out of range(Empty Group of DTC))(14),0x14,  ,03 7F 14 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
PC_ID-004 , Start default session,0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-653 , PreCondition: PC_ID-004  Testcase:RX_SWIN_F1_EF_Read(Defaultsession),0x22,0xF1EF,10 2B 62 F1 EF 07 16 0B 52 31 30 20 41 59 31 2F 31 2F 30 0C 52 31 35 35 20 41 59 31 2F 31 2F 30 0C 52 31 35 36 20 41 59 31 2F 31 2F 30 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-654 , PreCondition: PC_ID-004  Testcase:B_CAN_Database_Version_F1_00_Read(Defaultsession),0x22,0xF100,06 62 F1 00 25 08 01 AA,  ,Physical,ascii,  ,  ,  
TC_ID-655 , PreCondition: PC_ID-004  Testcase:Vehicle_Manufacturer_Spare_Part_Number_F1_87_Read(Defaultsession),0x22,0xF187,10 0D 62 F1 87 39 36 35 34 30 53 42 30 30 30,  ,Physical,ascii,  ,  ,  
TC_ID-656 , PreCondition: PC_ID-004  Testcase:Manufacturing_F1_8B_Read(Defaultsession),0x22,0xF18B,07 62 F1 8B 00 00 00 00,  ,Physical,hex,  ,  ,  
TC_ID-657 , PreCondition: PC_ID-004  Testcase:ECU_Serial_Number_F1_8C_Read(Defaultsession),0x22,0xF18C,10 23 62 F1 8C 30 30 30 30 30 30 30 30 33 31 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 AA AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-658 , PreCondition: PC_ID-004  Testcase:Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Defaultsession),0x22,0xF191,10 08 62 F1 91 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-659 , PreCondition: PC_ID-004  Testcase:HardwareVersionNumber_F1_93_Read(Defaultsession),0x22,0xF193,10 08 62 F1 93 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-660 , PreCondition: PC_ID-004  Testcase:ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Read(Defaultsession),0x22,0xF1C1,10 23 62 F1 C1 30 B3 A7 68 20 F8 63 4F B9 34 E7 8E FC 6C FB 61 7F 30 01 76 BB 6F 73 0E D4 D1 68 07 3F 6A D7 42 AA AA AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-661 , PreCondition: PC_ID-004  Testcase:SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Read(Defaultsession),0x22,0xF195,10 08 62 F1 95 30 31 2E 30 31 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-662 , PreCondition: PC_ID-004  Testcase:Software_Version_for_HKMC_Vehicle_Manufacture_F1_A0_Read(Defaultsession),0x22,0xF1A0,10 08 62 F1 A0 30 31 2E 30 31 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-663 , PreCondition: PC_ID-004  Testcase:ECU_Supplier_Code_F1_A1_Read(Defaultsession),0x22,0xF1A1,07 62 F1 A1 61 38 31 32,  ,Physical,ascii,  ,  ,  
TC_ID-664 , PreCondition: PC_ID-004  Testcase:ECU_Software_UNIT_number_F1_B0_Read(Defaultsession),0x22,0xF1B0,04 62 F1 B0 01 AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-665 , PreCondition: PC_ID-004  Testcase:ECU_Software_UNIT1_Version_F1_B1_Read(Defaultsession),0x22,0xF1B1,10 08 62 F1 B1 30 31 2E 30 31 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-666 , PreCondition: PC_ID-004  Testcase:S_W_Version_Dataidentifier_F1_DD_Read(Defaultsession),0x22,0xF1DD,10 0B 62 F1 DD 30 31 2E 30 31 2E 30 31 AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-667 , PreCondition: PC_ID-004  Testcase:SystemNameOrEngineTypeDataIdentifier_Read(Defaultsession),0x22,0xF197,07 62 F1 97 4D 4B 42 44,  ,Physical,ascii,  ,  ,  
PC_ID-005 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-668 , PreCondition: PC_ID-005  Testcase:RX_SWIN_F1_EF_Read(Extended session),0x22,0xF1EF,10 2B 62 F1 EF 07 16 0B 52 31 30 20 41 59 31 2F 31 2F 30 0C 52 31 35 35 20 41 59 31 2F 31 2F 30 0C 52 31 35 36 20 41 59 31 2F 31 2F 30 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-669 , PreCondition: PC_ID-005  Testcase:B_CAN_Database_Version_F1_00_Read(Extendedsession),0x22,0xF100,06 62 F1 00 25 08 01 AA,  ,Physical,ascii,  ,  ,  
TC_ID-670 , PreCondition: PC_ID-005  Testcase:Vehicle_Manufacturer_Spare_Part_Number_F1_87_Read(Extendedsession),0x22,0xF187,10 0D 62 F1 87 39 36 35 34 30 53 42 30 30 30,  ,Physical,ascii,  ,  ,  
TC_ID-671 , PreCondition: PC_ID-005  Testcase:Manufacturing_F1_8B_Read(Extendedsession),0x22,0xF18B,07 62 F1 8B 00 00 00 00,  ,Physical,hex,  ,  ,  
TC_ID-672 , PreCondition: PC_ID-005  Testcase:ECU_Serial_Number_F1_8C_Read(Extendedsession),0x22,0xF18C,10 23 62 F1 8C 30 30 30 30 30 30 30 30 33 31 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20,  ,Physical,ascii,  ,  ,  
TC_ID-673 , PreCondition: PC_ID-005  Testcase:Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Extendedsession),0x22,0xF191,10 08 62 F1 91 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-674 , PreCondition: PC_ID-005  Testcase:HardwareVersionNumber_F1_93_Read(Extendedsession),0x22,0xF193,10 08 62 F1 93 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-675 , PreCondition: PC_ID-005  Testcase:ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Read(Extendedsession),0x22,0xF1C1,10 23 62 F1 C1 30 B3 A7 68 20 F8 63 4F B9 34 E7 8E FC 6C FB 61 7F 30 01 76 BB 6F 73 0E D4 D1 68 07 3F 6A D7 42 AA AA AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-676 , PreCondition: PC_ID-005  Testcase:SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Read(Extendedsession),0x22,0xF195,10 08 62 F1 95 30 31 2E 30 31 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-677 , PreCondition: PC_ID-005  Testcase:Software_Version_for_HKMC_Vehicle_Manufacture_F1_A0_Read(Extendedsession),0x22,0xF1A0,10 08 62 F1 A0 30 31 2E 30 31 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-678 , PreCondition: PC_ID-005  Testcase:ECU_Supplier_Code_F1_A1_Read(Extendedsession),0x22,0xF1A1,07 62 F1 A1 61 38 31 32,  ,Physical,ascii,  ,  ,  
TC_ID-679 , PreCondition: PC_ID-005  Testcase:ECU_Software_UNIT_number_F1_B0_Read(Extendedsession),0x22,0xF1B0,04 62 F1 B0 01 AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-680 , PreCondition: PC_ID-005  Testcase:ECU_Software_UNIT1_Version_F1_B1_Read(Extendedsession),0x22,0xF1B1,10 08 62 F1 B1 30 31 2E 30 31 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-681 , PreCondition: PC_ID-005  Testcase:S_W_Version_Dataidentifier_F1_DD_Read(Extendedsession),0x22,0xF1DD,10 0B 62 F1 DD 30 31 2E 30 31 2E 30 31 AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-682 , PreCondition: PC_ID-005  Testcase:SystemNameOrEngineTypeDataIdentifier_Read(Extendedsession),0x22,0xF197,07 62 F1 97 4D 4B 42 44,  ,Physical,ascii,  ,  ,  
TC_ID-683 , PreCondition: PC_ID-005  Testcase:Request out of range(invalid identifier))(22 F1FF),0x22,0xF1FF,03 7F 22 31 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-684 , PreCondition: PC_ID-005  Testcase:Incorrect message length(22),0x22,  ,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
PC_ID-026 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-685 , PreCondition: PC_ID-026  Testcase:Disable Rx and Tx(28 00 ),0x28,0x00,02 68 00 AA AA AA AA AA,  ,Functional,hex,  ,0x02,  
TC_ID-686 , PreCondition: PC_ID-026  Testcase:Disable Rx and Tx(28 00 ),0x28,0x00,02 68 00 AA AA AA AA AA,  ,Functional,hex,  ,0x03,  
TC_ID-687 , PreCondition: PC_ID-026  Testcase:EnableRxAndDisableTx Extended session(28 01),0x28,0x01,02 68 01 AA AA AA AA AA,  ,Functional,hex,  ,0x02,  
TC_ID-688 , PreCondition: PC_ID-026  Testcase:EnableRxAndDisableTx Extended session(28 01),0x28,0x01,02 68 01 AA AA AA AA AA,  ,Functional,hex,  ,0x03,  
TC_ID-689 , PreCondition: PC_ID-026  Testcase:DisableRxAndEnableTx Extended session(28 02),0x28,0x02,02 68 02 AA AA AA AA AA,  ,Functional,hex,  ,0x02,  
TC_ID-690 , PreCondition: PC_ID-026  Testcase:DisableRxAndEnableTx Extended session(28 02),0x28,0x02,02 68 02 AA AA AA AA AA,  ,Functional,hex,  ,0x03,  
TC_ID-691 , PreCondition: PC_ID-026  Testcase:DisableRxAndDisableTx Extended session(28 03),0x28,0x03,02 68 03 AA AA AA AA AA,  ,Functional,hex,  ,0x02,  
TC_ID-692 , PreCondition: PC_ID-026  Testcase:DisableRxAndDisableTx Extended session(28 03),0x28,0x03,02 68 03 AA AA AA AA AA,  ,Functional,hex,  ,0x03,  
PC_ID-027 , Start default session,0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
PC_ID-028 , Start Programming  session,0x10,0x02,06 50 02 00 32 01 F4 AA,  ,Physical,hex,  ,  ,  
TC_ID-694 , PreCondition: PC_ID-027, PC_ID-028  Testcase:Read DTC with Programming session(19 02),0x19,0x02,03 7F 19 11 AA AA AA AA,  ,Physical,hex,0x08,  ,  
TC_ID-695 , PreCondition: PC_ID-027, PC_ID-028  Testcase:Read DTC with Programming session(19 02),0x19,0x02,03 7F 19 11 AA AA AA AA,  ,Physical,hex,0x01,  ,  
TC_ID-696 , PreCondition: PC_ID-027, PC_ID-028  Testcase:Fault memory clear Extended session(14 FFFFFF),0x14,0xFFFFFF,03 7F 14 11 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-697 , PreCondition: PC_ID-027, PC_ID-028  Testcase:Conditions not correct(invalid range)(14 8000FF),0x14,0x8000FF,03 7F 14 11 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-698 , PreCondition: PC_ID-028  Testcase:Start default session(10 01),0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,hex,  ,  ,  
PC_ID-048 , Start Extended session(10 03),0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-699 , PreCondition: PC_ID-004, PC_ID-048  Testcase:Start programming session(10 02),0x10,0x02,06 50 02 00 32 01 F4,  ,Physical,hex,  ,  ,  
PC_ID-050 , Start Programming  session,0x10,0x02,06 50 02 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-700 , PreCondition: PC_ID-050  Testcase:Start default session(10 01),0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,hex,  ,  ,  
PC_ID-049 , Start Extended session(10 03),0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-701 , PreCondition: PC_ID-049  Testcase:Start Extended session(10 03),0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,hex,  ,  ,  
TC_ID-702 , PreCondition: PC_ID-049  Testcase:Start default session(10 02),0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,hex,  ,  ,  
PC_ID-051 , Start Programming  session,0x10,0x02,06 50 02 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-703 , PreCondition: PC_ID-051  Testcase:Start Extended session(10 03),0x10,0x03,03 7F 10 7E AA AA AA AA,  ,Physical,hex,  ,  ,  
PC_ID-052 , Start default session,0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-704 , PreCondition: PC_ID-052  Testcase:Incorrect message length(10 02 01),0x10,0x0201,03 7F 10 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-705 , PreCondition: PC_ID-052  Testcase:Incorrect message length(10 01 01),0x10,0x0101,03 7F 10 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-707 , PreCondition: PC_ID-052  Testcase:Sub function not supported(14FFFFF1),0x14,0xFFFFF1,03 7F 14 22 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-708 , PreCondition: PC_ID-052  Testcase:Incorrect message length(14FFFFFFFF),0x14,0xFFFFFFFF,03 7F 14 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-709 , PreCondition: PC_ID-052  Testcase:Incorrect message length(22F18B02),0x22,0xF18B02,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-710 , PreCondition: PC_ID-052  Testcase:Incorrect message length(22F18701),0x22,0xF18701,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-711 , PreCondition: PC_ID-052  Testcase:Incorrect message length(22F1A001),0x22,0xF1A001,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-712 , PreCondition: PC_ID-052  Testcase:Incorrect message length(22F19504),0x22,0xF19504,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-713 , PreCondition: PC_ID-052  Testcase:Incorrect message length(22F1B001),0x22,0xF1B001,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-714 , PreCondition: PC_ID-052  Testcase:Incorrect message length(22F19101),0x22,0xF19101,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-715 , PreCondition: PC_ID-052  Testcase:Incorrect message length(22F1EF02),0x22,0xF1EF02,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-716 , PreCondition: PC_ID-052  Testcase:Incorrect message length(22F10001),0x22,0xF10001,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-718 , PreCondition: PC_ID-052  Testcase:Incorrect message length(19 02 08 01),0x19,0x02,03 7F 19 13 AA AA AA AA,  ,Physical,hex,0x0801,  ,  
PC_ID-053 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-719 , PreCondition: PC_ID-053  Testcase:Incorrect message length(10 03 01),0x10,0x0301,03 7F 10 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-720 , PreCondition: PC_ID-053  Testcase:Incorrect message length(28 01 01 01),0x28,0x01,03 7F 28 13 AA AA AA AA,  ,Functional,hex,  ,0x0101,  
TC_ID-721 , PreCondition: PC_ID-053  Testcase:Incorrect message length(85 01 01),0x85,0x0101,03 7F 85 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-722 , PreCondition: PC_ID-053  Testcase:Incorrect message length(22F18701),0x22,0xF18701,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-723 , PreCondition: PC_ID-053  Testcase:Incorrect message length(22F19703),0x22,0xF19703,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-724 , PreCondition: PC_ID-053  Testcase:Incorrect message length(22F1A101),0x22,0xF1A101,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-725 , PreCondition: PC_ID-053  Testcase:Incorrect message length(22F1B104),0x22,0xF1B104,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-726 , PreCondition: PC_ID-053  Testcase:Incorrect message length(22F13101),0x22,0xF13101,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
TC_ID-727 , PreCondition: PC_ID-053  Testcase:Incorrect message length(22F1C101),0x22,0xF1C101,03 7F 22 13 AA AA AA AA,  ,Physical,hex,  ,  ,  
PC_ID-071 , Start Programming  session,0x10,0x02,06 50 02 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-728 , PreCondition: PC_ID-071  Testcase:Disable Rx and Tx(28 00 ),0x28,0x00,02 68 00 AA AA AA AA AA,  ,Functional,hex,  ,0x01,  
TC_ID-729 , PreCondition: PC_ID-071  Testcase:Disable Rx and Tx(28 00 ),0x28,0x00,02 68 00 AA AA AA AA AA,  ,Functional,hex,  ,0x02,  
TC_ID-730 , PreCondition: PC_ID-071  Testcase:Disable Rx and Tx(28 00 ),0x28,0x00,02 68 00 AA AA AA AA AA,  ,Functional,hex,  ,0x03,  
TC_ID-731 , PreCondition: PC_ID-071  Testcase:EnableRxAndDisableTx Extended session(28 01),0x28,0x01,02 68 01 AA AA AA AA AA,  ,Functional,hex,  ,0x01,  
TC_ID-732 , PreCondition: PC_ID-071  Testcase:EnableRxAndDisableTx Extended session(28 01),0x28,0x01,02 68 01 AA AA AA AA AA,  ,Functional,hex,  ,0x02,  
TC_ID-733 , PreCondition: PC_ID-071  Testcase:EnableRxAndDisableTx Extended session(28 01),0x28,0x01,02 68 01 AA AA AA AA AA,  ,Functional,hex,  ,0x03,  
TC_ID-734 , PreCondition: PC_ID-071  Testcase:DisableRxAndEnableTx Extended session(28 02),0x28,0x02,02 68 02 AA AA AA AA AA,  ,Functional,hex,  ,0x01,  
TC_ID-735 , PreCondition: PC_ID-071  Testcase:DisableRxAndEnableTx Extended session(28 02),0x28,0x02,02 68 02 AA AA AA AA AA,  ,Functional,hex,  ,0x02,  
TC_ID-736 , PreCondition: PC_ID-071  Testcase:DisableRxAndEnableTx Extended session(28 02),0x28,0x02,02 68 02 AA AA AA AA AA,  ,Functional,hex,  ,0x03,  
TC_ID-737 , PreCondition: PC_ID-071  Testcase:DisableRxAndDisableTx Extended session(28 03),0x28,0x03,02 68 03 AA AA AA AA AA,  ,Functional,hex,  ,0x01,  
TC_ID-738 , PreCondition: PC_ID-071  Testcase:DisableRxAndDisableTx Extended session(28 03),0x28,0x03,02 68 03 AA AA AA AA AA,  ,Functional,hex,  ,0x02,  
TC_ID-739 , PreCondition: PC_ID-071  Testcase:DisableRxAndDisableTx Extended session(28 03),0x28,0x03,02 68 03 AA AA AA AA AA,  ,Functional,hex,  ,0x03,  
