#Author: Akhila Varganti
#Date: 2026-07-14 Time: 12:31
#TC_ID/PC_ID , Testcase_Description , Service_ID , SubService_ID , Expected_Response_Data , Write_Data , Addressing , Format , Status_Mask , Communication_Type , controltype
ECU_INFO-6 , S_W_Version_Dataidentifier_F1_DD_Read(Defaultsession) , 0x22 , 0xF1DD , 10 10 62 F1 DD 41 30 30 30 30 00 00 00 00 00 00 00 00 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-256 , ECUSoftwareUnit2 IVDDataIdentifier_F1_C2_Read(Defaultsession) , 0x22 , 0xF1C2 , 03 62 F1 C2 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-257 , SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Read(Extendedsession) , 0x22 , 0xF195 , 07 62 F1 95 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-258 , Software_Version_for_HKMC_Vehicle_Manufacture_F1_A0_Read(Extendedsession) , 0x22 , 0xF1A0 , 07 62 F1 A0 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-259 , ECU_Supplier_Code_F1_A1_Read(Extendedsession) , 0x22 , 0xF1A1 , 07 62 F1 A1 53 31 31 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-260 , ECU_Software_UNIT_number_F1_B0_Read(Extendedsession) , 0x22 , 0xF1B0 , 04 62 F1 B0 01 AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-261 , ECU_Software_UNIT1_Version_F1_B1_Read(Extendedsession) , 0x22 , 0xF1B1 , 07 62 F1 B1 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-262 , S_W_Version_Dataidentifier_F1_DD_Read(Extendedsession) , 0x22 , 0xF1DD , 10 10 62 F1 DD 41 30 30 30 30 00 00 00 00 00 00 00 00 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-263 , SystemNameOrEngineTypeDataIdentifier_Read(Extendedsession) , 0x22 , 0xF197 , 07 62 F1 97 4D 46 53 57 ,    , Physical , Hex ,    ,    ,   
TC_ID-264 , sub function not correct(invalid identifier))(22 F1 FF) , 0x22 , 0xF1FF , 03 7F 22 12 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-265 , Security access denied , 0x22 , - , 0x62 ,    , Physical , Hex ,    ,    ,   
TC_ID-266 , Pending Response , 0x22 , - , 0x62 ,    , Physical , Hex ,    ,    ,   
TC_ID-267 , Service not supported in Active session , 0x22 , - , 0x62 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-268 , Incorrect message length(22) , 0x22 ,    , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-269 , Request out of range(22D100) , 0x22 , 0xD100 , 03 7F 22 31 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-270 , Request out of range(2250DD) , 0x22 , 0x50DD , 03 7F 22 31 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-031 , Start programming session , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
TC_ID-271 , Read DTC with Programming session(19 02) , 0x19 , 0x02 , 03 59 02 08 AA AA AA AA ,    , Physical , Hex , 0x08 ,    ,   
PC_ID-031 , Start programming session , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
TC_ID-272 , Fault memory clear Extended session(14 FFFFFF) , 0x14 , 0xFFFFFF , 01 54 AA AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-031 , Start programming session , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
TC_ID-273 , Start default session(10 01) , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
PC_ID-031 , Start programming session , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
TC_ID-274 , Start programming session(10 02) , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
PC_ID-031 , Start programming session , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
TC_ID-275 , Start Extended session(10 03) , 0x10 , 0x03 , 03 7F 22 7E AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-031 , Start programming session , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
TC_ID-276 , Start programming session(10 02) , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
PC_ID-031 , Start programming session , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
TC_ID-277 , Start default session(10 01) , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
PC_ID-031 , Start programming session , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
TC_ID-278 , Start Extended session(10 03) , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
PC_ID-032 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-279 , Service not supported in Active session(27 11) , 0x27 , 0x11 , 03 7F 27 7F AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-032 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-280 , Start Extended session(10 03) , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
PC_ID-032 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-281 , sub function not support(27 22) , 0x27 , 0x22 , 03 7F 27 12 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-032 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-282 , Invalid message length(27 ) , 0x27 ,    , 03 7F 27 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-032 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-283 , Seed request in extended session(27 11) , 0x27 , 0x11 , 0A 67 11 A7 0E 84 7C 9C C0 39 65 ,    , Physical , Hex ,    ,    ,   
PC_ID-032 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-284 , Start default session(10 01) , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
PC_ID-032 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-285 , Service not supported in Active session in default session(27 11) , 0x27 , 0x11 , 03 7F 27 7F AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-286 , Start programming session(10 02) , 0x10 , 0x02 , 06 50 02 00 32 00 C8 00 ,    , Physical , Hex ,    ,    ,   
TC_ID-287 , Start Extended session(10 03) , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-288 , Start default session(10 01) , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-289 , Start default session(10 01) , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-290 , Start Extended session(10 03) , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-291 , Incorrect message length(10 03 01) , 0x10 , 0x3101 , 03 7F 10 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-292 , Incorrect message length(10 01 01) , 0x10 , 0x0101 , 03 7F 10 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-293 , Sub function not supported(14FFFFF1) , 0x14 , 0xFFFFF1 , 03 7F 14 12 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-294 , Incorrect message length(14FFFFFFFF) , 0x14 , 0xFFFFFFFF , 03 7F 14 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-295 , Incorrect message length(22F18B02) , 0x22 , 0xF18B02 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-296 , Incorrect message length(22F18701) , 0x22 , 0xF18701 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-297 , Incorrect message length(22F1A001) , 0x22 , 0xF1A001 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-298 , Incorrect message length(22F19504) , 0x22 , 0xF19504 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-299 , Incorrect message length(22F1B001) , 0x22 , 0xF1B001 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-300 , Incorrect message length(22F19101) , 0x22 , 0xF19101 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-301 , Incorrect message length(22F1EF02) , 0x22 , 0xF1EF02 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-302 , Incorrect message length(22F10001) , 0x22 , 0xF10001 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-303 , Read DTC with Extended session(19 02) , 0x19 , 0x02 , 07 59 02 08 96 03 00 08 ,    , Physical , Hex , 0x08 ,    ,   
TC_ID-304 , Incorrect message length(10 03 01) , 0x10 , 0x0301 , 03 7F 10 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-305 , Incorrect message length(22F18701) , 0x22 , 0xF18701 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-306 , Incorrect message length(22F19703) , 0x22 , 0xF19703 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-307 , Incorrect message length(22F1A101) , 0x22 , 0xF1A101 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-308 , Incorrect message length(22F1B104) , 0x22 , 0xF1B104 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-309 , Incorrect message length(22F13101) , 0x22 , 0xF13101 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-310 , Incorrect message length(22F1C101) , 0x22 , 0xF1C101 , 03 7F 22 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-311 , Read DTC with Extended session(19 02) , 0x19 , 0x02 , 07 59 02 08 96 03 00 08 ,    , Physical , Hex , 0x08 ,    ,   
TC_ID-312 , Exceed number of attempts , 0x27 , 0x12 , 03 7F 27 36 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-313 , Required time delay , 0x27 , 0x12 , 03 7F 27 37 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-314 , Request Sequence error , 0x27 , 0x12 , 03 7F 27 24 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-315 , Incorrect message length(10 02 01) , 0x10 , 0x0201 , 03 7F 10 13 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
TC_ID-316 , Read DTC with Extended session(19 02) , 0x19 , 0x02 , 07 59 02 08 96 03 00 08 ,    , Physical , Hex , 0x08 ,    ,   
