#TC_ID/PC_ID , Testcase_Description , Service_ID , SubService_ID , Expected_Response_Data , Write_Data , Addressing , Format , Status_Mask , Communication_Type , controltype
PC_ID-046 , Start Programming session , 0x10 , 0x02 , 06 50 02 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-136 , Control in invalid session(2F 95 03 01)(invalid session) , 0x2F , 0xF1 0x95 0x03 0x01 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-021 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
TC_ID-135 , Invalid control parameter(2F 95 FF)(invalid session) , 0x2F , 0xF1 0x95 0xFF , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-134 , Control input(2F 95 03 00)(invalid session) , 0x2F , 0xF1 0x95 0x03 0x00 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-020 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
TC_ID-133 , Control output with valid control parameter(2F 95 03 01)(invalid session) , 0x2F , 0xF1 0x95 0x03 0x01 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-020 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-019 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
TC_ID-132 , SendKey_Send(invalid Subfunction )(27 02) , 0x27 , 0x02 , 0x12 ,    , Physical , Hex ,    ,    ,   
PC_ID-019 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
TC_ID-131 , RequestSeed_Request(invalid Subfunction )(27 01) , 0x27 , 0x01 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-019 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
TC_ID-130 , SystemNameOrEngineTypeDataIdentifier_Write(F197)(invalid security) , 0x2E , 0xF197 , 0x33 , 4D 4B 42 44 4D 4B 42 44 , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
TC_ID-129 , SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Write(invalid security) , 0x2E , 0xF195 , 0x33 , 30 31 2E 30 30 , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
TC_ID-128 , ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Write(invalid security) , 0x2E , 0xF1C1 , 0x33 , A6 32 F7 CD 4D F6 CD A6 04 EB 7E 3A 2E 85 0A 39  A6 32 F7 , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
TC_ID-127 , HardwareVersionNumber_F1_93_Write(invalid security) , 0x2E , 0xF193 , 0x33 , 30 31 2E 30 30 2E 30 30 , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
TC_ID-126 , Vehicle_Manufacturer_ECU_HW_Number_F1_91_Write(invalid security) , 0x2E , 0xF191 , 0x33 , 30 31 2E 30 30 30 31 2E 30 30 , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
TC_ID-125 , Vehicle_Manufacturer_Spare_Part_Number_F1_87_Write(invalid security) , 0x2E , 0xF187 , 0x33 , 39 36 35 34 30 44 59 30 30 30 36 35 34 30 , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
TC_ID-124 , ECU_Serial_Number_F1_8C_Write(invalid security) , 0x2E , 0xF18C , 0x33 , 61 38 31 31 32 33 34 35 37 39 31 32 33 34 35 37 39 , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
TC_ID-123 , Manufacturing_F1_8B_Write(invalid security) , 0x2E , 0xF18B , 0x33 , 00 00 00 00 00 00 00 , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
TC_ID-122 , ECU_Supplier_Code_F1_A1_Write(invalid security) , 0x2E , 0xF1A1 , 0x33 , 61 38 31 32 61 38 31 32 , Physical , Hex ,    ,    ,   
PC_ID-017 , SendKey_ASK_Send(27 13) , 0x27 , 0x13 , 0x12 ,    , Physical , Hex ,    ,    ,   
PC_ID-016 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-015 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-121 , SystemNameOrEngineTypeDataIdentifier_Write(F197)(invalid session_security denied) , 0x2E , 0xF197 , 0x33 , 4D 4B 42 44 4D 4B 42 44 , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-120 , SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Write(invalid session_security denied) , 0x2E , 0xF195 , 0x33 , 30 31 2E 30 30 , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-119 , ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Write(invalid session_security denied) , 0x2E , 0xF1C1 , 0x33 , A6 32 F7 CD 4D F6 CD A6 04 EB 7E 3A 2E 85 0A 39  A6 32 F7 , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-118 , HardwareVersionNumber_F1_93_Write(invalid session_security denied) , 0x2E , 0xF193 , 0x33 , 30 31 2E 30 30 2E 30 30 , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-117 , Vehicle_Manufacturer_ECU_HW_Number_F1_91_Write(invalid session_security denied) , 0x2E , 0xF191 , 0x33 , 30 31 2E 30 30 30 31 2E 30 30 , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-116 , Vehicle_Manufacturer_Spare_Part_Number_F1_87_Write(invalid session_security denied) , 0x2E , 0xF187 , 0x33 , 39 36 35 34 30 44 59 30 30 30 36 35 34 30 , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-115 , ECU_Serial_Number_F1_8C_Write(invalid session_security denied) , 0x2E , 0xF18C , 0x33 , 61 38 31 31 32 33 34 35 37 39 31 32 33 34 35 37 39 , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-114 , Manufacturing_F1_8B_Write(invalid session_security denied) , 0x2E , 0xF18B , 0x33 , 00 00 00 00 00 00 00 , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
TC_ID-113 , ECU_Supplier_Code_F1_A1_Write(invalid session_security denied) , 0x2E , 0xF1A1 , 0x33 , 61 38 31 32 61 38 31 32 , Physical , Hex ,    ,    ,   
PC_ID-014 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-013 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-012 , Start default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-112 , SystemNameOrEngineTypeDataIdentifier_Write(F197)(invalid length given more than Expeccted) , 0x2E , 0xF197 , 0x13 , 4D 4B 42 44 4D 4B 42 44 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-111 , SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Write(invalid length given more than Expeccted) , 0x2E , 0xF195 , 0x13 , 30 31 2E 30 30 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-110 , ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Write(invalid length given more than Expeccted) , 0x2E , 0xF1C1 , 0x13 , A6 32 F7 CD 4D F6 CD A6 04 EB 7E 3A 2E 85 0A 39  A6 32 F7 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-109 , HardwareVersionNumber_F1_93_Write(invalid length given more than Expeccted) , 0x2E , 0xF193 , 0x13 , 30 31 2E 30 30 2E 30 30 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-108 , Vehicle_Manufacturer_ECU_HW_Number_F1_91_Write(invalid length given more than Expeccted) , 0x2E , 0xF191 , 0x13 , 30 31 2E 30 30 30 31 2E 30 30 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-107 , Vehicle_Manufacturer_Spare_Part_Number_F1_87_Write(invalid length given more than Expeccted) , 0x2E , 0xF187 , 0x13 , 39 36 35 34 30 44 59 30 30 30 36 35 34 30 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-106 , ECU_Serial_Number_F1_8C_Write(invalid length given more than Expeccted) , 0x2E , 0xF18C , 0x13 , 61 38 31 31 32 33 34 35 37 39 31 32 33 34 35 37 39 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-105 , Manufacturing_F1_8B_Write(invalid length given more than Expeccted) , 0x2E , 0xF18B , 0x13 , 00 00 00 00 00 00 00 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-104 , ECU_Supplier_Code_F1_A1_Write(invalid length given more than Expeccted) , 0x2E , 0xF1A1 , 0x13 , 61 38 31 32 61 38 31 32 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-103 , SystemNameOrEngineTypeDataIdentifier_Write(F197)(invalid length given less than Expeccted) , 0x2E , 0xF197 , 0x13 , 4D 4B 42 44 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-102 , SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Write(invalid length given less than Expeccted) , 0x2E , 0xF195 , 0x13 , 30 31 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-101 , ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Write(invalid length given less than Expeccted) , 0x2E , 0xF1C1 , 0x13 , A6 32 F7 CD 4D F6 CD A6 04 EB 7E 3A 2E 85 0A 39 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-100 , HardwareVersionNumber_F1_93_Write(invalid length given less than Expeccted) , 0x2E , 0xF193 , 0x13 , 30 31 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-099 , Vehicle_Manufacturer_ECU_HW_Number_F1_91_Write(invalid length given less than Expeccted) , 0x2E , 0xF191 , 0x13 , 30 31 2E , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-010 , RequestSeed_ASK_Request(27 11) , 0x27 , 0x11 , 0x67 ,    , Physical , Hex ,    ,    ,   
PC_ID-011 , SendKey_ASK_Send(27 12) , 0x27 , 0x12 , 0x67 ,    , Physical , Hex ,    ,    ,   
TC_ID-098 , Vehicle_Manufacturer_Spare_Part_Number_F1_87_Write(invalid length given less than Expeccted) , 0x2E , 0xF187 , 0x13 , 39 36 35 34 30 44 , Physical , Hex ,    ,    ,   
PC_ID-009 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
